Ref,Val,Package,PosX,PosY,Rot,Side
"DA1","D","Diode-dual",82.550000,-86.518750,0.000000,top
"DB1","D","Diode-dual",159.543750,-105.568750,0.000000,top
"DC1","D","Diode-dual",121.443750,-97.948750,0.000000,top
"DE1","D","Diode-dual",121.793000,-59.817000,0.000000,top
"DF1","D","Diode-dual",140.493750,-82.708750,0.000000,top
"DG1","D","Diode-dual",159.543750,-86.518750,0.000000,top
"DQ1","D","Diode-dual",83.343750,-67.468750,0.000000,top
"DR1","D","Diode-dual",141.287500,-63.658750,0.000000,top
"DS1","D","Diode-dual",102.393750,-82.708750,0.000000,top
"DT1","D","Diode-dual",158.432500,-66.675000,0.000000,top
"DV1","D","Diode-dual",140.493750,-101.758750,0.000000,top
"DW1","D","Diode-dual",102.393750,-63.658750,0.000000,top
"DX1","D","Diode-dual",102.393750,-101.758750,0.000000,top
"DZ1","D","Diode-dual",82.550000,-105.568750,0.000000,top
"D_1","D","Diode-dual",83.343750,-48.418750,0.000000,top
"D_2","D","Diode-dual",102.393750,-44.608750,0.000000,top
"D_3","D","Diode-dual",122.237500,-40.798750,0.000000,top
"D_4","D","Diode-dual",140.493750,-44.608750,0.000000,top
"D_5","D","Diode-dual",159.543750,-48.418750,0.000000,top
"D_ALT1","D","Diode-dual",93.662500,-115.093750,90.000000,top
"D_Bpt_1U_1","D","Diode-dual",131.572000,-107.696000,90.000000,top
"D_CAP1","D","Diode-dual",73.025000,-76.993750,90.000000,top
"D_CTRL1","D","Diode-dual",74.612500,-115.093750,90.000000,top
"D_D1","D","Diode-dual",121.443750,-78.898750,0.000000,top
"D_ESC1","D","Diode-dual",64.293750,-48.418750,0.000000,top
"D_SHIFT_1","D","Diode-dual",73.025000,-96.043750,90.000000,top
"D_TH1_1","D","Diode-dual",187.934848,-134.575600,335.000000,top
"D_TH1_2","D","Diode-dual",186.685079,-137.075053,335.000000,top
"D_TH1_3","D","Diode-dual",183.837475,-123.743583,65.000000,top
"D_WIN1","D","Diode-dual",112.712500,-112.077500,90.000000,top
"D_bot_1U_2","D","Diode-dual",151.130000,-112.014000,90.000000,top
"D_tAB1","D","Diode-dual",60.325000,-67.468750,0.000000,top
"D_th_2U1","D","Diode-dual",160.502848,-122.383600,65.000000,top
